title,authors,url,year
The long-term impact of an Ecohealth intervention: Entomological data suggest the interruption of Chagas disease transmission in southeastern Guatemala,"Fredy Manolo Pereira, Daniel Penados, María Carlota Monroy",https://www.sciencedirect.com/science/article/pii/S0001706X22003473/pdfft?md5=350c06d627eaefc1d23c2ad17c3a8291&pid=1-s2.0-S0001706X22003473-main.pdf,2022
52: American Trypanosomiasis: Chagas Disease,"Andrés F. Henao-Martínez, Carlos Franco-Paredes, Anis Rassi",https://www.sciencedirect.com/science/article/pii/B978070207959700052X/pdfft?md5=e9369b1eb5f4e6eb1b898fa5854eaaab&pid=3-s2.0-B978070207959700052X-main.pdf,2024
Epidemiological aspects of Chagas disease in the state of Piauí (Northeast Brazil) in the period 2010–2019,"Maricélia de Aquino Santana, Anangela Ravena da Silva Leal, Vagner José Mendonça",https://www.sciencedirect.com/science/article/pii/S0001706X22000377/pdfft?md5=31780581d6134cdb2147c7ea785f4156&pid=1-s2.0-S0001706X22000377-main.pdf,2022
"Retrospect, advances and challenges in Chagas disease diagnosis: a comprehensive review","Alejandro Gabriel Schijman, Julio Alonso-Padilla, Claudia Patricia Herrera Bernal",https://www.sciencedirect.com/science/article/pii/S2667193X24001480/pdfft?md5=8d4c999ea7030d750203aecfb6ad85eb&pid=1-s2.0-S2667193X24001480-main.pdf,2024
Chapter 5: Cardiovascular Complications of Chagas' Disease,"Andrés Felipe Miranda-Arboleda, Dhruv Krishnan, Adrian Baranchuk",https://www.sciencedirect.com/science/article/pii/B9780323911221000143/pdfft?md5=3396083fe94d949dcf2153c86d21922a&pid=3-s2.0-B9780323911221000143-main.pdf,2022
"Trypanosoma cruzi, beyond the dogma of non-infection in birds","Fernando Martínez-Hernández, Brizia Oria-Martínez, Claudia Irais Muñoz-García",https://www.sciencedirect.com/science/article/pii/S1567134822000363/pdfft?md5=7ed255a39d45554079bf931cfa4fc997&pid=1-s2.0-S1567134822000363-main.pdf,2022
Commentary on Automatic identification of Chagas disease vectors using data mining and deep learning techniques,"Ziba Parsons, Shadi Banitaan",https://www.sciencedirect.com/science/article/pii/S1574954123000936/pdfft?md5=54499af819d6928d56c049973c0116b1&pid=1-s2.0-S1574954123000936-main.pdf,2023
"A multidisciplinary, collaborative, inter-agency and comprehensive approach for the control of Chagas Disease as a public health problem in Guatemala","María Carlota Monroy, Daniel Penados, Roberto Chuit",https://www.sciencedirect.com/science/article/pii/S0001706X21003363/pdfft?md5=a27678ccda6a055c3cf345d774d23a85&pid=1-s2.0-S0001706X21003363-main.pdf,2022
Protozoan diseases: Chagas disease,"Giri S. Rajahram, David L. Heymann",https://www.sciencedirect.com/science/article/pii/B9780323999670003033/pdfft?md5=448ceb544a87faca5ec9b3926507cdf6&pid=3-s2.0-B9780323999670003033-main.pdf,2024
Microevolution and subspecific taxonomy ofTrypanosoma cruzi,"Michel Tibayrenc, Francisco J. Ayala",https://www.sciencedirect.com/science/article/pii/S1567134822001411/pdfft?md5=fa0097da8257c77c42efcd1f7533232f&pid=1-s2.0-S1567134822001411-main.pdf,2022
Population structure and migration inTriatoma infestans(Hemiptera: Reduviidae) from the Argentine Chaco: An integration of genetic and morphometric data,"Romina V. Piccinali, M. Sol Gaspe, Ricardo E. Gürtler",https://www.sciencedirect.com/science/article/pii/S0001706X23001973/pdfft?md5=28a5f1ebd4fa469ccbd2c830228f9b12&pid=1-s2.0-S0001706X23001973-main.pdf,2023
From molecules to ecosystems: Insights into a network of interactions for a Chagas disease outbreak usingTriatoma brasiliensisas natural samplers,"Carlos E. Almeida, Milena M. Máximo, Elaine Folly-Ramos",https://www.sciencedirect.com/science/article/pii/S0001706X23002942/pdfft?md5=22add02ae134e5bb01acb7dc27a07a08&pid=1-s2.0-S0001706X23002942-main.pdf,2024
Shooting in the dark: automatic identification of disease vectors without taxonomic expert supervision,"Rodrigo Gurgel-Gonçalves, Vinícius Lima de Miranda, A. Townsend Peterson",https://www.sciencedirect.com/science/article/pii/S1574954123000584/pdfft?md5=4fcb243edc1eade6d55ce8f01f1c36ee&pid=1-s2.0-S1574954123000584-main.pdf,2023
Prevalence of Foodborne Diseases in Latin America and the Caribbean,Suzana Caetano da Silva Lannes,https://www.sciencedirect.com/science/article/pii/B9780128225219000058/pdfft?md5=597d22bcdd9454c2e3b09946b125173d&pid=3-s2.0-B9780128225219000058-main.pdf,2024
