title,authors,url,year
Insight into hazard and control of transfusion-transmitted infections in Egypt: A narrative review,"Hazem A. Sayed Ahmed, Noha Kamel, Eman Mohamed Mahfouz",https://www.sciencedirect.com/science/article/pii/S1473050224001332/pdfft?md5=205cd4a065d6ab4de43a30cd86c6d608&pid=1-s2.0-S1473050224001332-main.pdf,2024
"Exposure toTrypanosoma cruziandLeishmaniaparasites in dogs from a rural locality of Yucatan, Mexico. A serological survey","Enrique Reyes-Novelo, Carlos Sauri-Arceo, Francisco J. Escobedo-Ortegón",No URL found,2023
At the outer part of the active site inTrypanosoma cruziglucokinase: The role of phenylalanine 337,"Shane M. Carey, Sean P. Kearns, Edward L. D'Antonio",https://www.sciencedirect.com/science/article/pii/S0300908423002419/pdfft?md5=285071b95fe790eda45214237bab883b&pid=1-s2.0-S0300908423002419-main.pdf,2024
Functional predictors of poor outcomes in Chagas cardiomyopathy: The value of end-tidal carbon dioxide at peak exercise,"Marcus Vinícius Accetta Vianna, Matheus Ribeiro Ávila, Henrique Silveira Costa",https://www.sciencedirect.com/science/article/pii/S0147956323002078/pdfft?md5=43b21ec0de166d904a36b6980124b853&pid=1-s2.0-S0147956323002078-main.pdf,2023
Emerging infectious diseases of the skin: a review of clinical and histologic findings,"Devon E. McMahon, Audrey N. Schuetz, Carrie L. Kovarik",https://www.sciencedirect.com/science/article/pii/S0046817723001478/pdfft?md5=1062927ea185484f7697c42cd38b6e15&pid=1-s2.0-S0046817723001478-main.pdf,2023
Fauna and Flora Related Deaths,Ryan Blumenthal,No URL found,2024
Microextraction by packed sorbent and high-performance liquid chromatography for determination of benznidazole in human plasma,"Melina Luiza Vieira Diniz, Jessica Mauricio Batista, Christian Fernandes",https://www.sciencedirect.com/science/article/pii/S1570023223000508/pdfft?md5=7555501c470d43bd6f3a53ace851b18d&pid=1-s2.0-S1570023223000508-main.pdf,2023
Bioactivity-guided isolation of trypanocidal coumarins and dihydro-pyranochromones from selected Apiaceae plant species,"Sandhya R. Krishnan, Adrianna Skiba, Jürg Gertsch",https://www.sciencedirect.com/science/article/pii/S0031942223001863/pdfft?md5=f7babc9cfc512b30fa91a7c87a833ab0&pid=1-s2.0-S0031942223001863-main.pdf,2023
Identification of ETH receptor and its possible roles in the mud crabScylla paramamosain,"Yiwei Tang, Fang Liu, Haihui Ye",https://www.sciencedirect.com/science/article/pii/S1095643324001193/pdfft?md5=3d2365ab7cf49d1bd1780cd2120f1312&pid=1-s2.0-S1095643324001193-main.pdf,2024
Infectious Disease Prophylaxis During and After Immunosuppressive Therapy,"Lorne Schweitzer, Benjamin A. Miko, Marcus R. Pereira",https://www.sciencedirect.com/science/article/pii/S2468024924016784/pdfft?md5=44da0a47ffef483f2f881057327affbd&pid=1-s2.0-S2468024924016784-main.pdf,2024
In vitroactivity and mechanism of cell death induction of cyanomethyl vinyl ethers derivatives againstTrypanosoma cruzi,"Carlos J. Bethencourt-Estrella, Samuel Delgado-Hernández, José E. Piñero",https://www.sciencedirect.com/science/article/pii/S2211320723000167/pdfft?md5=74596ea5137f8bbacadef56caddfca1f&pid=1-s2.0-S2211320723000167-main.pdf,2023
Privileged small molecules against neglected tropical diseases: A perspective from structure activity relationships,"J. Abbasi Shiran, B. Kaboudin, N. Razzaghi-Asl",https://www.sciencedirect.com/science/article/pii/S0223523424002769/pdfft?md5=f3e3d956269c07c79bc87c94c1a10741&pid=1-s2.0-S0223523424002769-main.pdf,2024
Non-thermal technologies for the conservation of açai pulp and derived products: A comprehensive review,"Danyelly Silva Amorim, Isabelly Silva Amorim, Carla Rosane Barboza Mendonça",https://www.sciencedirect.com/science/article/pii/S0963996923011237/pdfft?md5=b7e85e1a669a10b7e7bb8f345f7ec13f&pid=1-s2.0-S0963996923011237-main.pdf,2023
