title,authors,url,year
Chapter 14: Algae natural products for potential vector-borne disease management,"Joana Assunção, Helena M. Amaro, A. Catarina Guedes",https://www.sciencedirect.com/science/article/pii/B9780323919425000070/pdfft?md5=80b9b207c476db6cec93f782c2002171&pid=3-s2.0-B9780323919425000070-main.pdf,2023
"Heterologous mRNA-protein vaccination with Tc24 induces a robust cellular immune response againstTrypanosoma cruzi, characterized by an increased level of polyfunctional CD8+ T-cells","Cristina Poveda, Ana Carolina Leão, Kathryn M. Jones",https://www.sciencedirect.com/science/article/pii/S2590255523000124/pdfft?md5=408a3ec727d6e87f0099d4405273731a&pid=1-s2.0-S2590255523000124-main.pdf,2023
Chapter 1: Potentials of natural products in vector-borne diseases management: Current and future perspectives,"Devyani Rajput, Umesh Kumar Patil, Nagendra Singh Chauhan",https://www.sciencedirect.com/science/article/pii/B978032391942500015X/pdfft?md5=7a542bcbae33c296cf34496fbd2f2718&pid=3-s2.0-B978032391942500015X-main.pdf,2023
Chapter Two: Food- and vector-borne parasitic zoonoses: Global burden and impacts,"Anisuzzaman, Md. Shahadat Hossain, Md. Abdul Alim",https://www.sciencedirect.com/science/article/pii/S0065308X23000118/pdfft?md5=f74da1364a8d69902582621104fe46c7&pid=1-s2.0-S0065308X23000118-main.pdf,2023
Chapter 11: Proteomics and Host–Pathogen Interactions: Still a Bright Future?,"David G. Biron, Dorothée Missé, Philippe Holzmuller",https://www.sciencedirect.com/science/article/pii/B9780443288180000264/pdfft?md5=81ede83654169920125b7156e3643058&pid=3-s2.0-B9780443288180000264-main.pdf,2024
Chapter 8: Panics and pandemics,Edward P. Rybicki,No URL found,2023
Chapter 3: Specific Infectious Diseases,"Daniel S. Burns, Lucy Lamb",https://www.sciencedirect.com/science/article/pii/B9780323794121000035/pdfft?md5=9ea5896e02b65bd333f15bcb4b4186f4&pid=3-s2.0-B9780323794121000035-main.pdf,2023
Chapter 13: Evolution of Resistance to Insecticides in Disease Vectors,"Philippe Nwane, Achille Binyang, Josiane Etang",https://www.sciencedirect.com/science/article/pii/B9780443288180000069/pdfft?md5=db16420cfc411c491e6fa5a0b15796a1&pid=3-s2.0-B9780443288180000069-main.pdf,2024
"Chapter 3: Parasite phospholipases A, signaling events, and contribution to pathogenesis",María Laura Belaunzarán,https://www.sciencedirect.com/science/article/pii/B978044321800200021X/pdfft?md5=3abde7351c8bc1ccf625830bcb27c3fc&pid=3-s2.0-B978044321800200021X-main.pdf,2023
Chapter 4: Trypanosomiasis,"Benoit Stijlemans, Boyoon Choi, Stefan Magez",https://www.sciencedirect.com/science/article/pii/B9780443191619000048/pdfft?md5=26235c4ad61bdc5e4cf335f1cfca42dc&pid=3-s2.0-B9780443191619000048-main.pdf,2024
The insect microbiome is a vast source of bioactive small molecules,"Carlismari Oliveira Grundmann, Juan Guzman, Mônica Tallarico Pupo",No URL found,2024
"Drug resistance in animal trypanosomiases: Epidemiology, mechanisms and control strategies","Marzuq A. Ungogo, Harry P. de Koning",https://www.sciencedirect.com/science/article/pii/S2211320724000149/pdfft?md5=bfe511b8f01007efd11880ee75b2289f&pid=1-s2.0-S2211320724000149-main.pdf,2024
